,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
0,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167597.7653599,1320670391.06145,1379888268.15642,1531843575.4189901,1665363128.4916198,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.0670397,2021301675.97765,2228279329.6089396,2331005586.5921803,2421474860.3352,2623726256.9832397,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,,,,,,
1,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.111111,548888895.5555559,546666677.777778,751111191.111111,800000044.4444441,1006666637.77778,1399999966.6666698,1673333417.77778,1373333366.6666698,1408888922.22222,1748886595.5555599,1831108971.1111102,1595555475.5555599,1733333264.4444401,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.6109796,3641723321.99546,3478787909.09091,,,,,,,,,,,,,,,,,,,,2461665937.8938603,4128820723.0471296,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19702986340.5494,19469022207.6357,
2,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6684491978.60963,6684491978.60963,6684491978.60963,6684491978.60963,10026737967.9144,10026737967.9144,12118610904.2251,5684291718.77106,5278182970.79618,4059352153.0536795,5039552482.42778,7526446605.51712,7648377412.83277,6445041824.66621,6152922942.98032,9129594818.60749,8936063723.20121,12497346669.6684,14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102962245246.70801,89633156470.3104,
3,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242453.00793,1965384586.2409,2173750012.5,2156624900.0,2126000000.0,2335124987.5,2101624962.5,1139166645.8333302,709452583.880319,1228071037.84446,1985673798.10258,2424499009.1426396,3314898291.75235,2359903108.38446,2707123772.16195,3414760915.27878,3632043907.9773297,4060758804.12084,4435078647.74817,5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12781029643.5936,13219857459.1009,11390365293.8057,11926892452.8499,
4,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.0850963,89409820.3592814,113408231.94408502,150820102.798401,186558696.279204,220127246.376812,227281024.620741,254020153.340635,308008897.569444,411578334.159643,446416105.825017,388958731.302938,375895956.383462,327861832.94663596,330070689.29828197,346737964.774951,482000594.03587997,611316399.407088,721425939.15155,795449332.396346,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.6268198,1180597272.72727,1211932397.81713,1239876305.13531,1401695227.5658698,1484017897.0917199,1717485413.13759,2373927765.23702,2916786689.84356,3248215396.0950103,3536632793.87781,4010990966.32904,4001201113.2268896,3650083356.4879103,3346516556.29139,3427022518.76564,3146151869.45908,3248924588.42273,,,,
5,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25760683041.0826,28434203615.4795,31385499664.0635,36426909888.3884,43316056615.451004,55018394945.576,105145803084.364,116337021938.327,144846175400.471,167308327683.573,183555544342.167,248646206366.97302,338177454717.49896,348592795413.075,324328753765.261,303962539723.043,307940771858.505,303893618415.50604,289029150639.408,312681678329.895,307503035642.479,322325140494.687,446877161735.16705,439779177858.364,471163515480.25604,476513630630.26794,487526906280.526,523759898288.29297,578231297763.478,613279452474.103,591525594021.3989,643889670873.196,735025140336.255,723282816382.445,729051715403.984,823110541431.167,963862340520.5809,1184661549595.13,1404113530800.68,1637573196970.62,2077706582271.06,1795472295052.32,2109224213446.0,2501942770389.97,2740536188974.18,2838294388723.79,2904404570076.29,2561129553776.39,2500931669252.23,
6,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672506.5004,19213022691.0526,24871775164.6043,23775831783.4263,31225463217.7582,43598748449.0479,49333424135.1131,46622718605.2847,42803323345.1376,41807954235.903,40603650231.5445,33943612094.7971,36384908744.2114,36275674203.2144,41464995913.9199,50701443748.2975,51552165622.4462,54239171887.769005,55625170253.337006,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.81801,109816201497.61699,124346358066.71199,147824370319.94598,180617018379.85,222116541865.214,257916133424.09802,315474615738.598,253547358747.447,289880430197.25,350908390046.35803,374817974113.476,390427289210.786,403197682887.71704,357949199759.586,348743265715.395,
7,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.6081,18272123664.4715,25605249381.7597,28344705966.6389,28630474727.9023,24256667553.2569,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499890.7722,56781000100.9448,58082870156.2634,69252328953.3789,76961923741.9478,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.19699,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,584711485367.2671,545866164478.053,
8,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.4271398,2068526521.9029899,1272577521.7683,1201313196.45626,1315158670.4797099,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.3900602,2118467913.37873,2376335048.3997602,2807061008.69084,3576615240.41616,4900469515.07252,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.987041,9260284937.797821,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10529182498.3475,10547331235.1895,
9,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,639000000.0,638000000.0,641000000.0,,
10,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496740.7407407,87879333.3333333,109079962.962963,131431037.03703701,147841740.74074098,164369296.296296,182144111.11111102,208372851.851852,240923925.92592597,290440148.148148,337174851.851852,398637740.740741,438794777.77777797,459469074.07407403,481706333.333333,499281148.14814806,535172777.777778,589429592.592593,577280740.740741,633730629.62963,680617111.111111,727860592.592593,766198925.925926,825405518.518518,795976518.518518,809754481.481482,850218592.592592,913710370.3703699,1014979666.66667,1149025481.4814801,1302388925.92593,1359733555.5555599,1217719666.6666698,1147942222.22222,1141865444.4444401,1216045777.77778,1195885111.11111,1274330333.3333302,1355645888.88889,1449160185.18519,
11,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18593347519.3191,19666256019.7111,19911524246.8362,21527606674.8796,23787658192.4068,25962593795.4978,27288610146.712997,30421099787.2102,32687870982.1929,36659200358.3828,41304737372.6061,45183111210.6619,52003504672.8972,63782190903.2671,88906411201.1791,97226546497.3372,104974158578.092,110266116081.67,118400631626.438,134793820288.53801,149887465181.059,176804829908.278,193954540439.148,177176415535.798,193503894222.061,180470967247.066,182281757134.863,189375992588.67102,236135768335.274,299941372852.37396,311425933051.174,326068597441.331,325692532492.502,312372821810.00604,323216879972.328,368391743391.743,401819423368.74,436097980904.68,399778878111.646,389146509587.66797,415446209885.072,378899860470.108,394635830891.586,466853232382.062,613329776639.636,693764095624.718,747572626534.891,853764622752.61,1055334825425.25,927168310999.853,1142876772659.21,1390557034407.97,1538194473087.23,1567178619062.28,1459597906912.7,1345383143356.35,1204616439828.41,
12,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.18495,7311749633.36229,7756110210.119659,8374175257.73075,9169983885.71185,9994070615.85997,10887682273.1014,11579431668.9165,12440625312.8685,13582798556.2404,15335972267.7957,17815464919.0439,22006470861.3608,29444365310.2818,35104529078.3274,39962704274.3146,42856485617.8569,51421585629.8393,61902774945.5131,73759181883.685,81861232822.8037,70863106877.48401,71103585383.5605,71947277233.032,67821568599.1335,69219621907.4222,98797587381.7035,123869321397.475,133018182770.534,132785154342.17401,166062376739.683,173375508073.07,194608183696.469,189921096652.07602,203044926876.28,240457622492.15198,236720496490.772,212323463750.14102,217683626056.025,216725261027.06198,196421706283.398,196953628635.347,212970685111.98898,260721478555.305,299857238639.185,314648986444.472,334309371471.584,386458951546.674,427611527757.43396,397594276187.83,390211866490.257,429037361514.409,407451583084.239,428248420485.175,438376178526.317,376967406147.98706,386427793787.215,
13,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006035.915659,8792365810.5094,4991350457.5425,3973027396.65195,3313739673.54738,3052467522.3610396,3176749593.11788,3962710163.1116705,4446396217.63265,4581222442.457829,5272617196.045171,5707720390.8515,6235795103.88809,7276013031.96905,8680472168.51531,13245716099.0057,20983019923.8863,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69684317718.9409,74164435946.4627,75244166772.9185,53074370486.0433,37847715736.0406,
14,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.96296299,165444571.428571,178297142.85714298,183200000.0,190205714.285714,242732571.428571,252842285.714286,246804571.428571,304339839.552146,345263492.063492,420986666.666667,448412753.62318796,547535555.5555559,610225555.5555559,782496666.666667,919726666.666667,969046666.666667,1013222222.22222,1082926304.4647698,987143931.166987,1149979285.77347,1201725497.0657802,1131466494.01101,1082403219.48787,1113924130.41149,1132101252.5181699,1167398478.3459,1083037670.60484,938632612.026359,925030590.1536831,1000428393.8852801,869033856.317093,972896267.915425,893770806.077641,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117257279.46188,1273180597.0271099,1356078278.18821,1611634331.64869,1739781488.7457,2026864469.3638802,2355652125.85184,2472384906.99794,2714505634.52629,3093647226.8107,3097324739.8493,3007029030.3997602,
15,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722590.99,12400145221.595,13264015675.3193,14260017387.0492,15960106680.6732,17371457607.9374,18651883472.4808,19992040788.4593,21376353113.475,23710735894.7022,26849173618.3945,29981318394.8688,37408626615.3423,47999408507.5554,56333063690.9693,66029811341.45,71494607105.5381,83283407090.6021,101788571282.18301,116938177352.779,127508322941.095,105290713602.78099,92588982518.0999,87650998816.568,83795759983.2449,86730120728.3103,120661334386.85199,150194219665.046,163168007789.358,165100250614.251,206431036697.24802,211638016538.689,236038607528.23102,225924893540.112,246195171328.67102,289567597153.80396,281357654723.127,254813937753.721,260602356079.129,260202429149.798,237904919845.21802,237841610738.255,258860342555.995,319003386004.515,370885274397.815,387365999253.824,409813072387.404,471821790309.335,518626043650.21204,484552653514.865,483548693409.33704,527008036846.81104,497884088082.651,520117140495.05896,531750903174.68604,454991318727.90704,466365727353.85,
16,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195579.35701,235668222.42998397,236434906.75427002,253927646.475909,269818988.259263,289908720.64862204,302925280.77356404,306222000.407316,326323097.355964,330748211.459737,333627758.154666,335072975.215766,410331900.950531,504376035.716401,554654786.9651071,676870140.341529,698408244.385343,750049739.152238,928843304.783965,1186231265.18417,1405251547.2388198,1291119965.1126199,1267778489.03079,1095348302.91865,1051133927.00009,1045712703.02696,1336102040.71025,1562412030.34838,1620246187.15171,1502294411.46202,1959965243.7626898,1986437859.9034603,1695315305.7030802,2274557914.07481,1598075932.3543198,2169627250.9337897,2361116587.86079,2268301537.65128,2455092582.30927,2689787917.50711,2569186642.86999,2680213931.46472,3054571081.6912,3905366187.87017,4521424807.22519,4803702821.08055,5142380779.44103,5969535131.58016,7132787396.66547,7097198711.6102295,6970240895.498879,7814081155.649879,8152554487.31321,9156748441.42175,9707432015.614408,8290986804.45245,8583031398.21675,
17,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442817.168859,350247237.11684,379567178.256898,394040749.12567,410321785.631059,422916848.424208,433889831.584706,450753993.17644805,460442864.205949,478298781.545658,458404330.125096,482411278.982439,578595583.975723,674773821.1514161,751133642.647461,939972703.463021,976547572.215824,1131225278.77773,1475584037.28156,1748480982.18517,1928720390.2886899,1775842679.94056,1754450379.2077,1600278756.43589,1459880352.6483,1552493413.98989,2036303381.2014198,2369835438.62393,2616040645.87263,2615588545.68629,3101301780.95067,3135045684.1006,2240264711.54816,2332018010.55341,1895290964.8082898,2379518099.2266,2586550747.0984397,2447669403.89018,2804902723.73145,2993753187.09677,2628920056.1009803,2812845513.57125,3205592289.79773,4205691222.1139603,4838551099.70985,5462709498.45119,5844669845.53733,6771277870.96412,8369637065.40255,8369175126.2531595,8979966766.07232,10724061338.5874,11166061507.8024,11934606509.5944,12400688571.1396,11148759324.507,12115155931.5461,
18,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913.46432,4817580183.56657,5081413339.74945,5319458351.12372,5386054619.3107605,5906636556.95802,6439687598.27648,7253575399.268821,7483685473.4584,8471006100.89247,8992721809.328009,8751842839.73302,6288245866.66667,8086725729.3407,12512460519.7088,19448348073.4565,10117113333.3333,9651149301.8746,13281767142.8571,15565480321.9448,18138049095.6072,20249694002.448,18525399201.5968,17609048821.5488,18920840000.0,22278423076.9231,21774033333.3333,24298032258.0645,26579005760.315,28781714763.7823,31598341233.5793,30957483290.541,31708873954.9405,33166520084.8295,33768662171.2233,37939748051.3878,46438482370.3942,48244308274.8086,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.47801,149990451022.29,172885454931.453,195078561219.325,221415280325.518,
19,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.2308,19870000000.0,19342000000.0,16563666666.6667,17594944444.4444,17155421052.6316,20249294117.6471,28101000000.0,22555941176.4706,21988444444.4444,20632090909.0909,10943548387.0968,10350515463.9175,10829710144.9275,9697416974.16974,13063422619.0476,10109404159.6402,11195630536.8928,14630974778.4594,13495062850.302,13148099185.2305,14135393875.5893,16360346653.8276,21074775206.3254,26094622563.6468,29821662537.3229,34304448149.8108,44765733379.98599,54666642734.2757,51783454183.5501,50610031135.7791,57418391041.5926,53903028252.2996,55758744571.1183,56732006512.0065,50199117547.0415,52395164027.1493,
20,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328.46909,3467819148.93617,3645744680.8510604,3735106382.97872,3905585106.38298,3651861702.1276603,3052393617.0212803,3392021010.6383,3702393617.02128,3863563829.7872295,4229787234.04255,4616223404.255321,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.617021,6183776595.744679,6621010372.340429,9062906914.89362,8976207712.765959,9632155053.19149,11074822074.4681,13150166755.3191,15968726861.7021,18505053191.4894,21730000000.0,25710877659.5745,22938218085.1064,25713271276.5957,29157446808.5106,30749308510.6383,32898670212.766003,33387712765.9574,31125851063.8298,31858510638.2979,
21,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.568627,190098039.21568602,212254901.96078402,237745098.039216,266666666.66666698,300392156.86274505,340000000.0,390196078.431373,444901960.784314,528137254.901961,538423153.692615,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,4961119000.0,5353524000.0,6019972000.0,6327552000.0,6516651000.0,6957996000.0,6949317000.0,7094413000.0,7706222000.0,7965588000.0,8318996000.0,8247000000.0,7820000000.0,7910000000.0,7890000000.0,8399000000.0,8522000000.0,8618000000.0,8854000000.0,9047000000.0,
22,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.1358,1866572953.7366602,2786045321.63743,3671816504.23851,4116699437.4041,4685729738.56209,5505984455.95855,5748990666.17862,6651226179.01829,8370020196.19158,10022840634.9206,11225138297.1959,12866524918.2221,15776422673.198,19101454463.7507,17600630726.6141,17164279813.0968,18629346790.8167,17207367625.8048,18154290272.2151,18521475376.4754,16173806634.5336,16559695718.568,
23,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000.0,17420000000.0,17120370370.3704,16286280991.7355,14932192010.7419,13972630803.5817,14756861538.4615,14128412417.193,15222014828.3039,12138485328.6267,12736856827.9847,12354820143.8849,14594925392.9691,17825436034.5366,23141587717.7633,30210091836.8294,36961821893.6976,45275747860.6442,60752177438.8895,49208656976.0389,57231904542.8755,61762341356.8996,65685903833.0838,75527537703.1836,78813049849.6078,56454775870.958,47433442293.1858,
24,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28071888.562228803,29964370.7125857,31856922.8615428,33749405.0118998,36193826.1234775,40069930.0699301,44405594.40559439,47379310.3448276,44910179.6407186,47305389.221556894,53233532.934131704,59207317.07317071,66062500.0,78343558.28220859,103216374.269006,118066298.342541,96905829.5964126,117650000.0,136300000.0,151800000.0,194750000.0,192900000.0,179250000.0,189000000.0,210900000.0,209150000.0,227850000.0,276550000.0,314900000.0,363150000.0,413050000.0,444720750.0,518239100.0,559858250.0,580863700.0,620140400.0,641383800.0,654314350.0,688992450.0,732732350.0,832072450.0,871860600.0,932551850.0,990374050.0,1057845500.0,1114222550.0,1217467600.0,1290573400.0,1368625150.0,1336957250.0,1397113450.0,1486712300.0,1573618750.0,1613705850.0,1706497950.0,1742545900.0,1765256400.0,
25,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.0801544,89249986.70071559,94149985.9705588,96366652.3069165,107566650.637987,114339048.96273601,134173373.782802,155102984.621576,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634899968.0,1679900032.0,1820359936.0,1867160064.0,2030749952.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,5414299000.0,5895048000.0,6109928000.0,5806378000.0,5744414000.0,5550771000.0,5537537000.0,5573710000.0,,,,
26,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.920733,612518906.826491,669722541.277818,721142957.311474,812543072.505384,908874537.0370369,994044553.8720539,1084059814.81481,908874537.0370369,964615698.6531991,1017171717.1717199,1095454545.45455,1257615644.9793198,1263018490.7546198,2100249875.06247,2404697651.1744103,2732083958.02099,3227436281.85907,3758220889.55522,4421343606.18135,4537487842.57749,5891606676.18271,5594118400.16731,5422656261.71049,6169481549.374821,5377277406.71638,3959379487.6064,4347956298.51327,4597615562.66594,4715978868.216129,4867582620.20708,5343274311.56789,5643893347.00679,5734676560.92471,5981244886.917,6715220507.05164,7396966657.470541,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.911291,9549077869.10651,11451869164.7112,13120159975.5451,16674324634.2373,17339992165.2422,19649631308.1648,23963033443.8518,27084497539.7974,30659338929.0883,32996187988.4226,33000198263.3864,33806395513.7482,
27,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569912.5199,15236854859.469,19926293839.0163,23021477292.2093,21211892259.9904,21790035117.19,27062716577.9111,30591834053.9653,33875881876.3672,37458898243.8609,42327600098.2412,49204456700.4516,58539008786.3684,79279057730.82901,105136007528.76,123709376567.89,152678020452.829,176171284311.76102,200800891870.16397,224969488835.18103,235024598983.26102,263561088977.129,281682304161.041,203304515490.795,209023912696.839,222942790435.29898,268137224729.722,294084112392.66,330397381998.489,425595310000.0,461951782000.0,602860000000.0,400599250000.0,437798577639.752,558111997497.263,785643456467.255,850425828275.793,883199443413.729,863723395088.3241,599388879704.634,655421153320.579,559372502338.237,507962741819.919,558320116997.075,669316239316.239,891629970423.9241,1107640325472.35,1397084381901.29,1695824517395.57,1667019605881.76,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993200170.0,1803652649613.75,1796186586414.45,
28,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,1012264035.9383401,1114104641.92324,1164059789.75045,1235775210.8196099,1347033586.8008199,1409740726.1551,1547790025.47984,1704440882.93392,1812891396.4731102,2006394477.47387,2012302519.5212398,2020744653.61842,1957168343.5437398,2063267995.73752,2151285060.4914103,2261996995.18515,2411846465.43502,2549260575.0703897,2874413287.26735,3012021852.2502,3121619807.97687,3116632412.98352,3169612598.3333397,3274856571.16604,3514370691.25563,3897467233.85757,4303275572.40197,4546115388.40716,4595264650.0,4601250000.0,4446800000.0,4358900000.0,4332150000.0,4371200000.0,4352700000.0,4421800000.0,4587550000.0,
29,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114040245.655299,132758395.400497,139030445.576898,160819286.554292,161211289.690318,179080099.30746102,197523179.241883,270818555.823521,433092003.579273,1073577085.64159,1168304305.6551301,1423061356.6456199,1732721160.9412198,1941600703.6059802,2803780005.51826,4928824957.9675,4366213849.57637,4264252336.4486,3844723142.45149,3782523088.4628,3523612563.0653205,2358592817.12134,2754463437.79677,2690717551.18267,2985467979.2852397,3520551724.13793,3701667052.55846,4183548189.07305,4105706151.75145,4087337959.93191,4734020036.68689,5115602836.87943,5197332974.13793,4051147227.53346,4600000000.0,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.004141,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17123125493.2912,12930394937.8137,11400266877.3769,
30,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,135653295.165394,146391639.722864,148934334.038055,165585940.59405902,169264991.197183,172217502.02101898,201375725.614592,253182453.703704,283855833.333333,275949889.09427,299787275.842376,250045839.929639,250794359.567901,235239570.350935,270801565.189672,303053462.843047,316420860.852385,365964500.137703,376955087.251575,419035810.496981,439158233.199822,476360697.18160594,537050133.717342,622026107.7715759,702682018.976169,818869145.124717,897731524.9299221,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.8395398,1958819914.95916,2057947621.19283,2236933237.89015,
31,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30412308.986401197,32902336.644746,35643207.626524605,38091150.566196,41613969.0506064,45790869.747312605,51464435.1464435,58646443.5146444,66248256.62482571,77356914.0788191,96245114.4611949,126957494.40715902,165258093.875959,244129088.027662,306033848.417954,355172413.793103,372010119.59521604,451603325.41567695,590376720.598889,819877300.613497,1060923829.1302099,1073861599.13948,1014907254.54016,1172258182.1496902,1240796364.75662,1114764007.14811,1392634771.9653,1965274882.36345,2644536804.1124396,3083800684.89751,3790567051.8677797,3942792837.35655,4146513722.3301897,4160086253.1468,4259330999.0315104,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.170779,5484257417.17844,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9931134940.51346,10126940513.3125,10939053367.1521,10945070441.9283,10267133177.7334,12786654365.8738,15682926890.0326,14686278713.5189,14915780533.086,16259445049.7698,14430608463.4399,15274861068.209,
32,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.949571,123134584.467673,124482748.937917,129379097.888958,142025069.461676,150574816.300764,157930041.875883,163820538.86794698,191767436.956884,188039191.323608,189106554.521277,201450768.367553,230317908.03864303,271183061.359635,281398668.160613,378660016.26593596,451152449.98441106,507298120.68315,610578523.761178,700764892.704831,797048028.773247,694803502.722356,748312283.726758,658679394.907969,637820620.670195,864849765.0596651,1122265026.38274,1200991825.95398,1264899368.20165,1233930277.0492198,1440711395.67069,1377375030.5292099,1411917558.45855,1278781166.72188,851174350.6494089,1115389731.7911901,1007791186.2010599,937741468.029676,967338348.6583141,999477510.686632,914500299.097034,931833302.7528571,991387870.1246301,1139754799.16304,1270080250.6526802,1350301057.06866,1460562038.37097,1698125617.9230402,1985239276.62611,1981728140.77833,1986014845.6318398,2212699746.81377,2184183758.31567,1518565219.0106099,1702898939.55483,1583776759.97697,1756124677.1967099,
